c,r,m,b,I,c/r,Z1_star,Z2_star,Z3_star,y1,y2,y3,Z2_y1,Z3_y1,Z1_y2,Z3_y2,Z1_y3,Z2_y3,y_star_norm,profit_star_norm,profit_y1_norm,profit_y2_norm,profit_y3_norm,y_star_uni,profit_star_uni,profit_y1_uni,profit_y2_uni,profit_y3_uni,x1,Z_x1,profit_x1_norm,profit_x1_uni,x2,Z_x2,profit_x2_norm,profit_x2_uni,x3,Z_x3,profit_x3_norm,profit_x3_uni
0.05,1,"[1.0, 2.5, 7.5]",5,2,0.05,2.2499933024804397,0.06518602024181974,0.9716796875,5.0,4.43173610509226,4.425216834659943,0.09645590291038064,0.9580078125,2.1836563902630917,0.9697265625,2.182896063944721,0.07143695397888805,4.369964068287872,2.2678774354528954,2.25,2.267664334776052,2.267706523643909,4.75,2.25625,2.25,2.246120809319815,2.245701589551169,4.858050717067275,-1.671351746017129,2.2565558906927325,2.255082504254124,4.707076493366644,-1.093733577126756,2.262158080291301,2.2560657572578293,4.552469492540388,-0.5142305866093054,2.266100008691458,2.2523481698622745
0.1,1,"[1.0, 2.5, 7.5]",5,2,0.1,1.9999958185812008,0.08635695225547602,0.9599609375,4.999069815941398,3.8766480750400074,3.9370383602142778,0.19951073758666474,0.9091796875,1.9250936122430105,0.95703125,1.929117973479031,0.08789565794191616,4.0098685397926435,2.0589265908918626,2.0000929967372714,2.057406252614049,2.0584802557931434,4.5,2.0250000000000004,2.000092931881622,1.9861432377648673,1.9933074192129774,3.8192089922199495,-1.4218767613746353,2.0557599154870116,1.9786523603725825,4.425263721134848,-0.9628038765112915,2.0464430504120408,2.024441448862139,4.1115874610976695,-0.44132563987659845,2.058100728782481,2.009913569962345
0.15000000000000002,1,"[1.0, 2.5, 7.5]",5,2,0.15000000000000002,1.7499842265775338,0.10435638683893998,0.953125,4.999089789041363,3.819660112501051,3.6373047379637278,0.30000785515779516,0.85546875,1.7303093154408984,0.953125,1.7272998867685323,0.09545522693871272,3.7397576876965797,1.8654360230369982,1.7501365108959672,1.8647922902073175,1.8643289026621899,4.25,1.80625,1.7501364487953963,1.787730758122739,1.7687104515878302,4.515109231442868,-1.3049409018370484,1.815226331840789,1.7992217095403773,4.053622011996384,-0.858606090282374,1.8560899572423022,1.8023935685827648,3.7976437177187465,-0.39223765650734777,1.8650962824821349,1.785787379388068
0.2,1,"[1.0, 2.5, 7.5]",5,2,0.2,1.5527921361183343,0.10031183734240784,0.9462890625,3.3387645761445977,3.4526303563591543,3.41997757769961,0.10616722070892815,0.9375,1.551387837139228,0.9453125,1.5520670152573492,0.09704569555128534,3.5152733958797726,1.6842020362880548,1.680340648382216,1.6837262566985263,1.6830938948641003,4.0,1.6000000000000003,1.5562767714238768,1.5700386473220493,1.5663573989628792,3.3660922751688465,-1.1559679774255796,1.6814579991662044,1.559816099639939,3.577528164096505,-0.7505634066814326,1.6837438961116922,1.5821517547868331,3.46364391833236,-0.34008444538024096,1.683879553269803,1.5712322153658136
0.25,1,"[1.0, 2.5, 7.5]",5,2,0.25,1.3908789356376376,0.10756881562373899,0.931640625,3.1455161791346367,3.1955342329807905,3.202917928708324,0.11894197404374529,0.92578125,1.3905226970128448,0.9306640625,1.3904111106257986,0.10679049263652995,3.3179752379605656,1.5134598984757237,1.5093827311574204,1.511420161596796,1.5116607863365474,3.75,1.40625,1.369709931031201,1.3755067713203801,1.376320120727121,3.1203420490276894,-1.031618742036514,1.508085719392457,1.3666030864777352,3.139924018558472,-0.6587020480631638,1.509110438356682,1.3690307296868158,3.168787830996357,-0.27808850875745295,1.5104194080358535,1.3724692414602078
0.3,1,"[1.0, 2.5, 7.5]",5,2,0.3,1.237653944156499,0.12758113925345177,0.91015625,2.987953708115755,2.9850340329628753,2.9632459285948296,0.1311809405597415,0.90625,1.2376524762249332,0.9052734375,1.2375480099542018,0.1372114193767725,3.1381844767187443,1.3521146741261003,1.348797318514837,1.3486659816345719,1.347603909942213,3.5,1.2249999999999999,1.1987808594967595,1.198481005279352,1.1961895066829973,2.9896110905756914,-0.9176671413648334,1.3488707210600426,1.1989503161136665,2.9672081765519414,-0.5750583132233686,1.3478078273283909,1.1966132872866893,2.992782510913271,-0.22912703464169026,1.3490088535550537,1.1992730418764552
0.35000000000000003,1,"[1.0, 2.5, 7.5]",5,2,0.35000000000000003,1.0917330103840657,0.14298864696455615,0.8857421875,2.851614951768154,2.846472841749838,2.8247585516337668,0.15228579729166342,0.884765625,1.0917278717114578,0.88671875,1.09159204977764,0.14863573532509144,2.9700226566881125,1.199448627951913,1.1972860300338217,1.197093124520295,1.196186661919065,3.2499999999999996,1.0562499999999997,1.0403789353345307,1.0399665832554548,1.0381669710591386,2.8319936048305974,-0.8076212842635775,1.1965052113351493,1.038777065359748,2.851447385606717,-0.4968990453069554,1.1972798748669806,1.0403655813560277,3.0901699437494736,-0.13894569697821066,1.1972713912642328,1.053695435311895
0.4,1,"[1.0, 2.5, 7.5]",5,2,0.4,0.9522780718594417,0.15822109543643925,0.8681640625,2.7282301342764703,2.6728002480303776,2.722113906009769,0.1677338451076295,0.8583984375,0.9516258740169143,0.86328125,0.9522701922427645,0.16742178597494994,2.8095023718566496,1.054985585395955,1.053933864578397,1.0520015986543256,1.0537692130744816,3.0,0.8999999999999999,0.8926141140084615,0.8892940322311018,0.8922779318766851,2.7222781017197213,-0.7016539621974218,1.053773790304343,0.8922870547215599,2.7134990539556902,-0.4283346543787825,1.0535169011690133,0.8917917207915715,2.7112655158822396,-0.14288992226535108,1.0534475880871441,0.891663239768125
0.45,1,"[1.0, 2.5, 7.5]",5,2,0.45,0.8187812517818778,0.16286766152297438,0.8466796875,2.612840642763645,2.5867863358089362,2.5855647406610713,0.16928511897946696,0.8408203125,0.8186328476673683,0.845703125,0.8186185904669208,0.16744684540982968,2.653643883813725,0.9184209794782014,0.9181510366295849,0.9176957586920239,0.9176689926342106,2.75,0.7562500000000001,0.754368731072251,0.7535861299821327,0.753546104548614,2.5937309694818667,-0.6012195227528938,0.917838693056059,0.7538079990100923,2.5953128206983935,-0.36122041654207304,0.9178690564647456,0.7538571876559713,2.600147911966632,-0.10357221055533261,0.917956819077272,0.754004435171204
0.5,1,"[1.0, 2.5, 7.5]",5,2,0.5,0.6909831225588325,0.16632277529614503,0.826171875,2.499991636531868,2.4960403134224336,2.49507053435142,0.16762360441131763,0.8251953125,0.6909796315883545,0.8232421875,0.6909777077981183,0.16915768458397318,2.5,0.7895844120543739,0.7895844120429656,0.7895818548241504,0.7895804488386913,2.5,0.625,0.6249999999930053,0.6249984320882207,0.624997570036842,2.499753009549702,-0.5067585397231895,0.7895844021046996,0.6249999938995717,2.5058311852219086,-0.29678338855713815,0.7895788662891353,0.6249965997278908,2.503956882331209,-0.07173686142929814,0.7895818584449212,0.6249984343082217
0.55,1,"[1.0, 2.5, 7.5]",5,2,0.55,0.5687858952995641,0.1660608142929645,0.7998046875,2.3876175946346123,2.408868152398018,2.40542861697216,0.17041028905351274,0.794921875,0.5686862463873015,0.798828125,0.5687159124018561,0.16689731510065986,2.346356116186275,0.6684209794782012,0.6681449360742169,0.6677870355493619,0.6678549260309681,2.25,0.5062499999999999,0.5043561397646983,0.5037260910153638,0.503834194502612,2.384911473719389,-0.41455303257204235,0.6681799745923345,0.5044298894258863,2.379493151040358,-0.2373008478309706,0.6682429795651987,0.5045731523833638,2.4120448080171286,-0.04437177859700836,0.6677209145164238,0.5036241480194692
0.6000000000000001,1,"[1.0, 2.5, 7.5]",5,2,0.6000000000000001,0.45227892243161216,0.15342619583817346,0.7744140625,2.2717732755697306,2.264064810047737,2.2808702364246995,0.16353207708642475,0.759765625,0.45226644226709967,0.7646484375,0.45226148562821433,0.15380832389345533,2.19049762814335,0.554985585395955,0.553933776131682,0.5541241895623965,0.5536845151102774,1.9999999999999996,0.3999999999999998,0.39261392866860967,0.39302697760944505,0.3921111910290731,2.2744614338866507,-0.32670997456320716,0.5538628870810398,0.39246709213088804,2.287632106152695,-0.1783532697193282,0.5534819986772495,0.3917267771510162,2.3016578707856254,-0.013576251511335569,0.5530150016924276,0.3909002528993082
0.6500000000000001,1,"[1.0, 2.5, 7.5]",5,2,0.6500000000000001,0.3417334106999892,0.130574527116685,0.7412109375,2.1483975038000245,2.1639250868512816,2.187259618745833,0.14695710640189863,0.7216796875,0.3416864211111974,0.728515625,0.3414373584367161,0.1523768165653726,2.0299773433118866,0.44944862795191304,0.4472855728101202,0.4466776163329103,0.44562094318087503,1.7499999999999993,0.30624999999999974,0.29037794289659064,0.28911660224751556,0.28713040258142464,2.145961852911438,-0.24379174901115963,0.4473740541814597,0.2905714211038938,2.1438330631406974,-0.12781814436511985,0.4474498616714121,0.29073955183772127,2.176030021396026,0.007001768334504138,0.4461509427276324,0.2880998420869299
0.7000000000000001,1,"[1.0, 2.5, 7.5]",5,2,0.7000000000000001,0.2376537945691366,0.12207436490836443,0.69921875,2.012061017202797,1.979238055842429,2.018435228556113,0.1304807854509259,0.681640625,0.23747038693938038,0.68359375,0.23764677665270328,0.1310034567541427,1.861815523281255,0.35211467412610026,0.3487966626179384,0.35009566623719834,0.3485065535154061,1.4999999999999996,0.2249999999999999,0.19877935146612358,0.20203308858323676,0.19812249137919696,2.0152277518614286,-0.16638139939729957,0.3486540791142541,0.19845403637118164,2.036505628684823,-0.0754662942844726,0.34761683711646096,0.19621617103895017,2.01551889758444,0.021847600646982546,0.34864081717807627,0.19842402662333225
0.7500000000000001,1,"[1.0, 2.5, 7.5]",5,2,0.7500000000000001,0.14087830395733691,0.10704887548766706,0.6328125,1.8544997390103477,1.8007348118423856,1.811605010708832,0.11889823698493496,0.6162109375,0.1404672879245641,0.6123046875,0.14061557746269449,0.10879173355214078,1.682024762039434,0.26345989847572365,0.25938196885888715,0.26154366802522266,0.26117287683415324,1.2499999999999996,0.15624999999999986,0.11970800655364189,0.125919116702493,0.12470998119467308,1.8652619597857005,-0.0945406900739576,0.258849860842986,0.1183952720840657,1.8217090363467074,-0.033771434247583,0.26079823808916486,0.12356487777595165,1.8247973441598848,0.033626686097991465,0.26067794622572504,0.1232108013146741
0.8,1,"[1.0, 2.5, 7.5]",5,2,0.8,0.05278994773672707,0.09161609980453145,0.546875,1.6613202010089618,1.6213190565809983,1.535963074373913,0.10635353201714182,0.4609375,0.05261036448301337,0.52734375,0.0510930319524574,0.10222868402857055,1.4847266041202276,0.18420203628805457,0.18033687655783254,0.1819071005589023,0.18388446892743585,0.9999999999999998,0.09999999999999995,0.05626555917374659,0.06139626299292977,0.07127435829076631,1.6360301582688928,-0.030988126184940956,0.1813782219682477,0.059546563777244654,1.4234746675660377,-0.002086565137022392,0.18375844472412878,0.08206692059298329,1.5177597653660608,0.033926612841519876,0.18407051383338602,0.0731924825368081
0.8500000000000001,1,"[1.0, 2.5, 7.5]",5,2,0.8500000000000001,-4.948249804198323e-06,0.08757942859995327,0.0,4.918825620243878e-05,1.3613009003372925,4.918825620243878e-05,0.299222145548095,0.00048828125,-0.022695924209692686,0.00048828125,-4.948249804198323e-06,0.29803835132697054,1.2602423123034199,0.11543602303699799,7.3781778649814335e-06,0.11435919410332386,7.3781778649814335e-06,0.7499999999999996,0.05624999999999994,7.377996481910989e-06,0.018881120924681444,7.377996481910989e-06,0.48462596752229087,0.007641246436531128,0.06519580202683864,0.04920766228865193,0.9562892821744619,0.01644148651209773,0.10664772475882156,0.05199447320599446,1.2255165901060123,0.0442368407216136,0.11531304515785228,0.03363839725339496
0.9000000000000001,1,"[1.0, 2.5, 7.5]",5,2,0.9000000000000001,-6.624090693361401e-06,0.08288641574207567,0.0,1.802294753494653e-08,1.0904183415080482,1.802294753494653e-08,0.1960198647230786,0.00048828125,-0.07270017265491124,0.00048828125,-6.624090693361401e-06,0.19347838171576587,0.9901314602073568,0.05892659089186214,1.8022947453636763e-09,0.05807335977811412,1.8022947453636763e-09,0.49999999999999933,0.024999999999999935,1.802294721011987e-09,-0.009859381798911548,1.802294721011987e-09,1.1816577896791123,0.07540745622232436,0.05573025314083439,-0.021465734223021463,0.685015752216666,0.034948023972165676,0.05195187704397179,0.02157691714317004,0.8817700433134518,0.05892472213851174,0.057991255815345435,0.010425163402844412
0.9500000000000001,1,"[1.0, 2.5, 7.5]",5,2,0.9500000000000001,-6.6236771907117544e-06,0.05899806740332195,0.0,9.535768086043687e-10,0.5931747306688715,9.535768086043687e-10,0.09114925457512227,0.00048828125,-0.06921059607280206,0.00048828125,-6.6236771907117544e-06,0.09150926517457177,0.6300359317121258,0.017877435452895885,4.7678840407456794e-11,0.017800840647627887,4.7678840407456794e-11,0.24999999999999967,0.006249999999999984,4.7678840339287496e-11,-0.005526889576965292,4.7678840339287496e-11,0.14268878498371465,0.016478778450427375,0.006587004980524869,0.005098430313172848,0.3047659993361596,0.03203105643023721,0.012528871289439122,0.005950068531671156,0.3699634995888239,0.04889063825801058,0.014372525803270763,0.004810875876640199
