alpha,y_opt,Z3_actual,Z1_actual,normalized_Z3,Z3_ratio,Z1_ratio
0.02,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.04,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.06,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.08,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.1,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.12,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.14,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.16,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.18,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.2,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.22,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.24,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.26,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.28,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.3,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.32,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.34,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.36,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.38,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.4,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.42,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.44,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.46,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.48,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.5,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.52,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.54,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.56,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.58,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.6,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.62,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.64,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.66,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.68,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.7,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.72,3.617996022092541,0.72357177734375,0.7236237173398106,,1.0012668918918919,0.7234281083712785
0.74,3.700833388511068,0.70672607421875,0.7401997248550147,,0.9779560810810811,0.7399996350829176
0.76,3.800921890443096,0.6854248046875,0.7602060008649718,,0.9484797297297297,0.7600005030238455
0.78,3.9010103923751234,0.6630859375,0.7801741871252852,,0.9175675675675675,0.7799632915114986
0.8,4.001098894307151,0.63970947265625,0.8001185409322105,,0.8852195945945946,0.7999022539881194
0.82,4.101187396239178,0.614990234375,0.8201253403654691,,0.8510135135135135,0.819903645210858
0.84,4.201275898171206,0.58892822265625,0.8402638338278718,,0.8149493243243243,0.8400366948633916
0.86,4.300143808616258,0.5615234375,0.8601594511647024,,0.777027027027027,0.8599269340442934
0.88,4.401106522270344,0.5316162109375,0.8803027003979293,,0.7356418918918919,0.8800647381820779
0.9,4.5015414039672885,0.49945068359375,0.9003080902562406,,0.6911317567567568,0.9000647202109032
0.92,4.601629905899317,0.46600341796875,0.9202567378011377,,0.644847972972973,0.9200079752648187
0.94,4.701718407831343,0.43267822265625,0.940347798310941,,0.5987331081081081,0.9400936047867634
0.96,4.805327222177745,0.400634765625,0.9610773025974817,,0.5543918918918919,0.9608175055022015
0.98,4.900674820208423,0.36639404296875,0.9801742334366503,,0.5070101351351352,0.9799092740852775
