c,r,mu,sigma,a,b,I,sigma/,y1,y2,y3,Z1_star,Z2_star,Z3_star,Z2_y1,Z3_y1,Z1_y2,Z3_y2,Z1_y3,Z2_y3,Z1_y2_over_Z1_star,Z1_y3_over_Z1_star,Z2_star_over_Z2_y1,Z2_star_over_Z2_y3,Z3_y1_over_Z3_star,Z3_y2_over_Z3_star
0.1,1,2,0.2,1,5,2,0.1,2.596332492799312,2.489720465010498,2.4964019044414543,1.665836244529748,0.0403007468188909,0.978515625,0.0501331853017054,0.97119140625,1.6642917786074616,0.97540283203125,1.664489343447205,0.0439527914100838,0.9990728584953303,0.999191456491017,0.8038736532769237,0.9169098372588222,0.9925149700598802,0.9968188622754491
0.1,1,2,0.4,1,5,2,0.2,2.842994849725914,2.761464840938011,2.7578766326539426,1.6102622206872748,0.0501662496254258,0.970703125,0.0564400585859505,0.966552734375,1.6096609784157985,0.96942138671875,1.6096050628178291,0.0519609403274358,0.9996266184080133,0.999591893878523,0.8888412039656098,0.9654607732134827,0.9957243460764588,0.9986795774647887
0.1,1,2,0.6,1,5,2,0.3,3.0325591819044733,3.025292082180797,3.03051775418798,1.5676217569567177,0.0524636356643947,0.9677734375,0.0533505252366767,0.968017578125,1.5676180515038485,0.9681396484375,1.5676214650024922,0.0532903877221508,0.9999976362583304,0.9999998137597771,0.9833761791782268,0.9844859065003115,1.0002522704339052,1.0003784056508578
0.1,1,2,0.8,1,5,2,0.4,3.192912877166352,3.2333780426797016,3.289813034633591,1.531677348178751,0.0514556615530497,0.9677734375,0.0595103148317746,0.96319580078125,1.5315818644774182,0.967041015625,1.5311474673105503,0.0552479203837091,0.9999376606950241,0.9996540519001403,0.8646511398655172,0.9313592474735463,0.9952699293642785,0.9992431886982845
0.1,1,2,1.0,1,5,2,0.5,4.985468474306701,3.4829197143354427,3.5056553454210904,1.5000127999501698,0.052334204553665,0.9677734375,0.1975071429678626,0.885009765625,1.4999991397286072,0.968017578125,1.4999994989191574,0.054222564518106,0.9999908932633355,0.9999911327216588,0.26497373091048443,0.9651739090317197,0.9144803229061554,1.0002522704339052
0.1,1,2,1.2,1,5,2,0.6,4.9990272970510965,3.715963208400888,3.7345172556277135,1.4999828115981022,0.0521180900807655,0.9677734375,0.178324434156968,0.89422607421875,1.4772598786318705,0.9676513671875,1.477670363294776,0.0554594654592009,0.9848512044334545,0.9851248640112388,0.2922655570289888,0.9397510352692904,0.9240035317860746,0.9998738647830474
0.1,1,2,1.4,1,5,2,0.7,4.999027555682297,4.024936364521521,4.009282251736542,1.4999663039027584,0.0511151973569635,0.96875,0.1586285526129742,0.90399169921875,1.4662554628310671,0.96234130859375,1.4657139913772137,0.0609133733051611,0.9775256010858516,0.977164612007334,0.3222320100321132,0.8391457340720382,0.9331527217741935,0.9933845766129032
0.1,1,2,1.6,1,5,2,0.8,4.999028589788696,4.09079532590657,4.10547780315346,1.500029038109287,0.0489888034718162,0.96875,0.1396282366083299,0.9189453125,1.4536820905470935,0.96759033203125,1.4544269618611811,0.0482706153425518,0.9691026330926157,0.9695992043556804,0.3508516949135032,1.0148783711201481,0.9485887096774194,0.9988029233870968
0.1,1,2,1.8,1,5,2,0.9,4.9990263938131,4.269923924567233,4.291494414659124,1.500025542257733,0.0468196013254391,0.970703125,0.1149553636920284,0.92694091796875,1.451334597932555,0.9681396484375,1.4527729940078171,0.0486122426074292,0.9675399231856465,0.9684988375739291,0.4072850524040908,0.9631236662651698,0.9549170020120724,0.9973591549295775
