c,r,mu,a,b,I,mu/b,y1,y2,y3,Z1_star,Z2_star,Z3_star,Z2_y1,Z3_y1,Z1_y2,Z3_y2,Z1_y3,Z2_y3
0.1,1,1.0,1,5,1,0.2,1.0003212428758859,1.0002644278454076,1.0000048858799868,0.9001684078353888,2.2870615822611143e-06,0.9990234375,9.686326444416533e-05,0.9998779296875,0.9001376641604061,0.9998779296875,0.8999979080571147,9.861430131640099e-05
0.1,1,1.5,1,5,1,0.3,4.999196726513711,2.511588683546187,2.622782815786345,1.0000316703948273,0.10132233335228036,0.916015625,0.3521011933841658,0.73968505859375,0.9377914302361579,0.90936279296875,0.9405711619210398,0.11246384730021486
0.1,1,2.0,1,5,1,0.4,4.999192520936052,3.798576121467454,3.9288694123712786,1.5000048243592472,0.18021422813030696,0.892578125,0.30163523725714025,0.8326416015625,1.3197714516181371,0.87982177734375,1.339308528610917,0.1932478092606411
0.1,1,2.5,1,5,1,0.5,5.0,4.333229057835567,4.388775741971871,1.9999896727509165,0.18347865308795827,0.916015625,0.2513060303638528,0.888427734375,1.8165173757992925,0.90826416015625,1.8319099937602599,0.1891379353322571
0.1,1,3.0,1,5,1,0.6,5.0,4.599902770727305,4.624211809789555,2.4999916628332675,0.1600388168572549,0.939453125,0.20077848642693397,0.92559814453125,2.3399713814927217,0.93597412109375,2.349691578360865,0.16276200835589894
0.1,1,3.5,1,5,1,0.7,5.0,4.759725040634275,4.769506020465306,2.9999927181361414,0.12614423959065207,0.958984375,0.15036574509632228,0.9522705078125,2.873878515459767,0.95794677734375,2.878939817519449,0.12759984749610476
0.1,1,4.0,1,5,1,0.8,5.0,4.866645273926755,4.870064545526217,3.4999928094793455,0.08668006695127586,0.9755859375,0.10003011955429786,0.97216796875,3.413368827026943,0.9752197265625,3.4156267779548815,0.08702221102351282
0.1,1,4.5,1,5,1,0.9,5.0,4.942834683828084,4.9434521937166505,3.999991933635391,0.04430215903436759,0.98828125,0.05007926542067964,0.98760986328125,3.9557284179964722,0.9888916015625,3.9562073028657925,0.04436329518660276
0.1,1,5.0,1,5,1,1.0,5.0,4.999993356431874,4.999993356386338,4.499990032535561,8.637896758754418e-06,0.9990234375,5.358605794973225e-06,0.99993896484375,4.499988670082873,0.99993896484375,4.499988670073539,8.63791923561084e-06
