c,r,mu,sigma,a,b,I,sigma/,y1,y2,y3,Z1_star,Z2_star,Z3_star,Z2_y1,Z3_y1,Z1_y2,Z3_y2,Z1_y3,Z2_y3
0.7,1,2,0.6,1,5,2,0.3,1.0003410419120118,1.573124015691367,1.528003312529565,0.30001504661700445,0.06932803818405048,0.8369140625,0.23601376613993225,0.55584716796875,0.25700169849110943,0.8106689453125,0.2604539143011865,0.08194265634282866
0.7,1,2,0.4,1,5,2,0.2,1.724102348969734,1.6848213923056343,1.6451803558306957,0.3101693696066181,0.06285071775662798,0.86328125,0.07332073199301858,0.82550048828125,0.30975992769981864,0.8515625,0.3091996637276231,0.07124969795537661
0.7,1,2,0.2,1,5,2,0.1,1.8050577188002839,1.8220474015319028,1.8132627007530764,0.3951084400994471,0.052047967727905986,0.890625,0.055138926936239396,0.88629150390625,0.394982282163153,0.88232421875,0.39507922812351737,0.05432647486258757
0.7,1,2,0.8,1,5,2,0.4,1.0003411528206534,1.4873157205689562,1.4073842691683802,0.3000131379230146,0.07464375590318872,0.814453125,0.21828134061435023,0.57708740234375,0.22961463411955263,0.76568603515625,0.24115093288634593,0.0974650503034763
0.7,1,2,1.0,1,5,2,0.5,1.000341240622479,1.3914338489820526,1.3315350057352737,0.3000111835630216,0.07800197494942786,0.806640625,0.1978229512509484,0.603515625,0.22168327275665772,0.74609375,0.23360897399350433,0.1002307764016871
0.7,1,2,1.4,1,5,2,0.7,1.0003407733488356,1.222912360003365,1.2482467826627464,0.3000077011776459,0.07300662249181711,0.8154296875,0.15367850472734057,0.6552734375,0.23684118115814368,0.7977294921875,0.22966580712193843,0.0824854721914616
0.7,1,2,1.2,1,5,2,0.6,1.000336003765142,1.3424131831593042,1.2868700594678428,0.30000923853003514,0.07309843249217407,0.806640625,0.1734378533290463,0.62628173828125,0.21597951504353313,0.72344970703125,0.2295474339173471,0.09277927125348234
0.7,1,2,1.6,1,5,2,0.8,1.0003368167088436,1.240924095376088,1.1817948434450747,0.3000058033043266,0.06517758139464969,0.82421875,0.13999482453979883,0.69140625,0.22403497844691198,0.78173828125,0.24267101096570964,0.08442502532012769
0.7,1,2,1.8,1,5,2,0.9,1.0003384155689945,1.181032820048273,1.1716151648900668,0.30000405454871926,0.06139612408337389,0.8427734375,0.11980868008217636,0.720703125,0.2379364937744895,0.80291748046875,0.24114264985324055,0.06705775670046321
