c,r,mu,sigma,a,b,I,sigma/,y1,y2,y3,Z1_star,Z2_star,Z3_star,Z2_y1,Z3_y1,Z1_y2,Z3_y2,Z1_y3,Z2_y3
0.5,1,2,0.2,1,5,2,0.1,1.9985407915403004,2.029259773933641,2.0202864012319797,0.7764853398914386,0.05935950632139919,0.9248046875,0.06662495356095766,0.9248046875,0.7759641653518172,0.91461181640625,0.7762239207632242,0.07338132559694677
0.5,1,2,0.6,1,5,2,0.3,1.9982881651560052,1.9100460127481969,1.9210883564267662,0.6127776007586161,0.08697085756726336,0.884765625,0.11551816960737299,0.85577392578125,0.6101527400677875,0.8768310546875,0.6107415544549244,0.09307342215150749
0.5,1,2,0.4,1,5,2,0.2,1.9992458002429974,1.9997013629541438,1.971706170243139,0.6838208786108864,0.0859120260861139,0.8935546875,0.09465985702283514,0.8876953125,0.6838207969036496,0.88916015625,0.6835230446235396,0.09040398725044974
0.5,1,2,0.8,1,5,2,0.4,1.9983807423622109,1.8356690350701081,1.8258259240907164,0.552833140376241,0.08033817083338796,0.88671875,0.13376175003131113,0.8260498046875,0.5462858137686071,0.880615234375,0.545870617044397,0.08547746317351579
0.5,1,2,1.0,1,5,2,0.5,1.0932531303832191,1.734544144454399,1.7195355429657286,0.5000217706207162,0.07700066983852294,0.88671875,0.28624248227969473,0.65777587890625,0.500040099305709,0.8868408203125,0.5000297936141681,0.07975724829427122
0.5,1,2,1.4,1,5,2,0.7,1.0003406440296716,1.594939292045323,1.5837725391425894,0.5000758192975067,0.06232885532697574,0.89453125,0.2642326748292987,0.65350341796875,0.4504533544018072,0.877685546875,0.4513478101242707,0.07133016783545443
0.5,1,2,1.6,1,5,2,0.8,1.000341792643136,1.474943882996895,1.462284091167109,0.5000743125954884,0.05904511745276869,0.9013671875,0.23190511293027716,0.6846923828125,0.44517293911070505,0.8887939453125,0.4465398348671179,0.06331352590510664
0.5,1,2,1.2,1,5,2,0.6,1.0003417300296142,1.6541163306100088,1.6409615594793887,0.5000778169594897,0.07202240666069581,0.8896484375,0.2971990163350724,0.626220703125,0.47021614797531863,0.8857421875,0.4708192591915703,0.07289261721778745
0.5,1,2,1.8,1,5,2,0.9,1.0003422433165503,1.360679774997897,1.3522007189204608,0.5000725984839317,0.05180637861211421,0.908203125,0.19925428367019427,0.71875,0.44845989962433436,0.89990234375,0.44967888255741606,0.06299471533251577
