c,r,mu,a,b,I,mu/b,y1,y2,y3,Z1_star,Z2_star,Z3_star,Z2_y1,Z3_y1,Z1_y2,Z3_y2,Z1_y3,Z2_y3,Z1_y2_over_Z1_star,Z1_y3_over_Z1_star,Z2_star_over_Z2_y1,Z2_star_over_Z2_y3,Z3_y1_over_Z3_star,Z3_y2_over_Z3_star
0.3,1,1.0,1,5,1,0.2,1.0003095213193078,1.012331552575675,1.0266836606163274,0.7001036831660729,-0.021963577174378,0.998046875,-0.0050817123862136,0.99993896484375,0.696296167363988,0.99822998046875,0.6918766777489458,0.0001629223918619,0.9945614972558549,0.9882488756809247,4.32208190962636,-134.81005847861152,1.0018957925636007,1.0001834637964775
0.3,1,1.5,1,5,1,0.3,1.0003239459198612,1.539676097368622,1.5316812572213516,0.7001182610589681,0.0911221299906059,0.8935546875,0.3481689906670517,0.6673583984375,0.6055640381054408,0.869384765625,0.6069685142915034,0.0946950411594034,0.8649453553596663,0.8669514109993782,0.26171810940436246,0.9622692896581237,0.7468579234972678,0.9729508196721312
0.3,1,2.0,1,5,1,0.4,1.0002984746845631,2.333181781209833,2.35904298197864,0.7001316168221727,0.1335504909195449,0.8701171875,0.6990770993189667,0.50042724609375,0.633342323994033,0.87109375,0.6320500539442256,0.1384582640873103,0.9046046611474431,0.9027589081222149,0.19103828611986912,0.9645541333331278,0.5751262626262627,1.001122334455668
0.3,1,2.5,1,5,1,0.5,4.999337261126751,3.11902422753503,3.135270807219242,0.9999501029979104,0.1801435433626336,0.859375,0.7471054630963974,0.57421875,0.858922965365539,0.84552001953125,0.8601412499124613,0.1911873279377375,0.8589658251851131,0.8601841705238154,0.24112197308265446,0.9422357920149371,0.6681818181818182,0.9838778409090909
0.3,1,3.0,1,5,1,0.6,4.999335423065824,3.786678779846324,3.927191388553624,1.4998662849879347,0.2348828642775001,0.8681640625,0.5997352348433589,0.71588134765625,1.257312345822677,0.839111328125,1.2854159934421474,0.2778637244080993,0.8382829578923371,0.8570203932895842,0.3916442633870723,0.8453167637403683,0.8245922384701913,0.9665354330708661
0.3,1,3.5,1,5,1,0.7,4.999333729239841,4.294500900638522,4.362499672455802,1.9997823194539968,0.2265863250746175,0.8994140625,0.4441250986348648,0.8173828125,1.7708152405376418,0.88592529296875,1.7930745823387424,0.2558501958064628,0.8855039987657906,0.8966348811546189,0.5101858142471347,0.8856210735363992,0.9087947882736156,0.9850027144408252
0.3,1,4.0,1,5,1,0.8,4.999332620271504,4.599288935456634,4.639320225002103,2.500039997010244,0.1723596144906531,0.935546875,0.2981926083540014,0.89501953125,2.31966905659768,0.9290771484375,2.337724476327504,0.1909338285127608,0.9278527781042438,0.9350748304519726,0.5780143761512532,0.902719103436056,0.9566805845511482,0.9930845511482255
0.3,1,4.5,1,5,1,0.9,4.999330204080324,4.80576306037632,4.825161822956504,3.0000137968995366,0.0855675185477842,0.970703125,0.15015434044088,0.953125,2.8883323326880888,0.96331787109375,2.899477164650801,0.0964293568319263,0.9627730164685013,0.9664879433712477,0.5698637701483864,0.8873596315375827,0.9818913480885312,0.9923918511066399
0.3,1,5.0,1,5,1,1.0,5.0,4.934980448541668,4.991467187105161,3.499990062101067,0.0137025764627658,0.9990234375,-0.0017036429001144,0.99993896484375,3.454095139729711,0.98944091796875,3.4940480850928104,-0.0097076025905078,0.9868871278040702,0.9983022874628709,-8.043103670285404,-1.41153043040352,1.00091642228739,0.9904081133919843
